            JDTDB             Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,             X_s,             Y_s,             Z_s,            VX_s,            VY_s,            VZ_s,
********************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2460981.333333333, A.D. 2025-Nov-01 20:00:00.0000,  7.679637972232793E+07,  1.089325213799711E+08,  4.718163177404715E+07, -1.538393584239130E+01,  2.464214393389581E+01,  9.388079199631461E+00,  2.10848196E+06,  3.35169683E+06,  1.20737275E+06,  4.97115891E-01,  6.87841530E-01,  3.09723362E-01,
2460981.375000000, A.D. 2025-Nov-01 21:00:00.0000,  7.674097449105099E+07,  1.090212003453644E+08,  4.721541478535943E+07, -1.539674444123483E+01,  2.462394866600824E+01,  9.380260844661802E+00,  2.11027005E+06,  3.34922087E+06,  1.20625793E+06,  4.96269768E-01,  6.87691279E-01,  3.09620210E-01,
2460981.416666667, A.D. 2025-Nov-01 22:00:00.0000,  7.668552318939394E+07,  1.091098138155205E+08,  4.724916965520091E+07, -1.540953050415136E+01,  2.460575769292484E+01,  9.372445049751283E+00,  2.11205510E+06,  3.34674545E+06,  1.20514348E+06,  4.95424948E-01,  6.87540717E-01,  3.09516984E-01,
2460981.458333333, A.D. 2025-Nov-01 23:00:00.0000,  7.663002589842294E+07,  1.091983618059168E+08,  4.728289639279205E+07, -1.542229406586349E+01,  2.458757102309267E+01,  9.364631817039434E+00,  2.11383711E+06,  3.34427058E+06,  1.20402941E+06,  4.94581427E-01,  6.87389845E-01,  3.09413685E-01,
2460981.500000000, A.D. 2025-Nov-02 00:00:00.0000,  7.657448269907936E+07,  1.092868443320610E+08,  4.731659500736089E+07, -1.543503516103266E+01,  2.456938866491164E+01,  9.356821148648979E+00,  2.11561609E+06,  3.34179625E+06,  1.20291570E+06,  4.93739203E-01,  6.87238667E-01,  3.09310313E-01,
2460981.541666667, A.D. 2025-Nov-02 01:00:00.0000,  7.651889367218164E+07,  1.093752614094884E+08,  4.735026550814213E+07, -1.544775382425878E+01,  2.455121062673526E+01,  9.349013046686158E+00,  2.11739204E+06,  3.33932246E+06,  1.20180237E+06,  4.92898274E-01,  6.87087184E-01,  3.09206869E-01,
2460981.583333333, A.D. 2025-Nov-02 02:00:00.0000,  7.646325889842199E+07,  1.094636130537669E+08,  4.738390790437900E+07, -1.546045009008120E+01,  2.453303691686963E+01,  9.341207513240295E+00,  2.11916496E+06,  3.33684922E+06,  1.20068941E+06,  4.92058638E-01,  6.86935396E-01,  3.09103353E-01,
2460981.625000000, A.D. 2025-Nov-02 03:00:00.0000,  7.640757845836836E+07,  1.095518992804941E+08,  4.741752220532231E+07, -1.547312399297838E+01,  2.451486754357424E+01,  9.333404550384103E+00,  2.12093486E+06,  3.33437653E+06,  1.19957683E+06,  4.91220292E-01,  6.86783307E-01,  3.08999767E-01,
2460981.666666667, A.D. 2025-Nov-02 04:00:00.0000,  7.635185243246655E+07,  1.096401201052947E+08,  4.745110842022909E+07, -1.548577556736755E+01,  2.449670251506276E+01,  9.325604160174029E+00,  2.12270175E+06,  3.33190438E+06,  1.19846461E+06,  4.90383234E-01,  6.86630917E-01,  3.08896110E-01,
2460981.708333333, A.D. 2025-Nov-02 05:00:00.0000,  7.629608090103669E+07,  1.097282755438254E+08,  4.748466655836493E+07, -1.549840484760564E+01,  2.447854183950196E+01,  9.317806344649799E+00,  2.12446562E+06,  3.32943278E+06,  1.19735278E+06,  4.89547462E-01,  6.86478229E-01,  3.08792384E-01,
2460981.750000000, A.D. 2025-Nov-02 06:00:00.0000,  7.624026394427541E+07,  1.098163656117727E+08,  4.751819662900273E+07, -1.551101186798897E+01,  2.446038552501259E+01,  9.310011105834771E+00,  2.12622649E+06,  3.32696174E+06,  1.19624131E+06,  4.88712973E-01,  6.86325245E-01,  3.08688588E-01,
2460981.791666667, A.D. 2025-Nov-02 07:00:00.0000,  7.618440164225771E+07,  1.099043903248488E+08,  4.755169864142153E+07, -1.552359666275293E+01,  2.444223357967005E+01,  9.302218445736216E+00,  2.12798436E+06,  3.32449124E+06,  1.19513022E+06,  4.87879765E-01,  6.86171965E-01,  3.08584724E-01,
2460981.833333333, A.D. 2025-Nov-02 08:00:00.0000,  7.612849407493371E+07,  1.099923496987983E+08,  4.758517260490865E+07, -1.553615926607288E+01,  2.442408601150347E+01,  9.294428366344906E+00,  2.12973923E+06,  3.32202130E+06,  1.19401950E+06,  4.87047836E-01,  6.86018391E-01,  3.08480793E-01,
2460981.875000000, A.D. 2025-Nov-02 09:00:00.0000,  7.607254132213059E+07,  1.100802437493942E+08,  4.761861852875856E+07, -1.554869971206384E+01,  2.440594282849642E+01,  9.286640869635448E+00,  2.13149110E+06,  3.31955191E+06,  1.19290916E+06,  4.86217184E-01,  6.85864526E-01,  3.08376794E-01,
2460981.916666667, A.D. 2025-Nov-02 10:00:00.0000,  7.601654346355459E+07,  1.101680724924355E+08,  4.765203642227170E+07, -1.556121803478018E+01,  2.438780403858772E+01,  9.278855957566577E+00,  2.13323999E+06,  3.31708308E+06,  1.19179919E+06,  4.85387805E-01,  6.85710371E-01,  3.08272728E-01,
2460981.958333333, A.D. 2025-Nov-02 11:00:00.0000,  7.596050057878771E+07,  1.102558359437526E+08,  4.768542629475668E+07, -1.557371426821652E+01,  2.436966964967041E+01,  9.271073632080727E+00,  2.13498590E+06,  3.31461480E+06,  1.19068959E+06,  4.84559699E-01,  6.85555927E-01,  3.08168597E-01,
2460982.000000000, A.D. 2025-Nov-02 12:00:00.0000,  7.590441274728963E+07,  1.103435341192041E+08,  4.771878815552902E+07, -1.558618844630742E+01,  2.435153966959253E+01,  9.263293895104376E+00,  2.13672882E+06,  3.31214707E+06,  1.18958037E+06,  4.83732862E-01,  6.85401197E-01,  3.08064400E-01,
2460982.041666667, A.D. 2025-Nov-02 13:00:00.0000,  7.584828004839987E+07,  1.104311670346739E+08,  4.775212201391006E+07, -1.559864060292709E+01,  2.433341410615789E+01,  9.255516748548327E+00,  2.13846877E+06,  3.30967991E+06,  1.18847153E+06,  4.82907293E-01,  6.85246181E-01,  3.07960138E-01,
2460982.083333333, A.D. 2025-Nov-02 14:00:00.0000,  7.579210256133415E+07,  1.105187347060770E+08,  4.778542787922909E+07, -1.561107077189024E+01,  2.431529296712507E+01,  9.247742194307300E+00,  2.14020576E+06,  3.30721330E+06,  1.18736306E+06,  4.82082989E-01,  6.85090883E-01,  3.07855811E-01,
2460982.125000000, A.D. 2025-Nov-02 15:00:00.0000,  7.573588036518672E+07,  1.106062371493561E+08,  4.781870576082221E+07, -1.562347898695183E+01,  2.429717626020814E+01,  9.239970234260241E+00,  2.14193977E+06,  3.30474725E+06,  1.18625497E+06,  4.81259947E-01,  6.84935302E-01,  3.07751422E-01,
2460982.166666667, A.D. 2025-Nov-02 16:00:00.0000,  7.567961353893214E+07,  1.106936743804786E+08,  4.785195566803117E+07, -1.563586528180669E+01,  2.427906399307749E+01,  9.232200870270642E+00,  2.14367083E+06,  3.30228177E+06,  1.18514725E+06,  4.80438167E-01,  6.84779441E-01,  3.07646969E-01,
2460982.208333333, A.D. 2025-Nov-02 17:00:00.0000,  7.562330216142200E+07,  1.107810464154425E+08,  4.788517761020543E+07, -1.564822969009051E+01,  2.426095617335878E+01,  9.224434104186106E+00,  2.14539893E+06,  3.29981684E+06,  1.18403991E+06,  4.79617644E-01,  6.84623302E-01,  3.07542453E-01,
2460982.250000000, A.D. 2025-Nov-02 18:00:00.0000,  7.556694631138687E+07,  1.108683532702731E+08,  4.791837159670112E+07, -1.566057224537942E+01,  2.424285280863374E+01,  9.216669937838661E+00,  2.14712408E+06,  3.29735248E+06,  1.18293295E+06,  4.78798378E-01,  6.84466886E-01,  3.07437876E-01,
2460982.291666667, A.D. 2025-Nov-02 19:00:00.0000,  7.551054606743844E+07,  1.109555949610200E+08,  4.795153763687985E+07, -1.567289298118981E+01,  2.422475390644087E+01,  9.208908373045080E+00,  2.14884628E+06,  3.29488868E+06,  1.18182636E+06,  4.77980365E-01,  6.84310195E-01,  3.07333237E-01,
2460982.333333333, A.D. 2025-Nov-02 20:00:00.0000,  7.545410150806595E+07,  1.110427715037629E+08,  4.798467574011083E+07, -1.568519193097908E+01,  2.420665947427450E+01,  9.201149411606458E+00,  2.15056554E+06,  3.29242545E+06,  1.18072015E+06,  4.77163605E-01,  6.84153230E-01,  3.07228537E-01,
2460982.375000000, A.D. 2025-Nov-02 21:00:00.0000,  7.539761271163832E+07,  1.111298829146081E+08,  4.801778591576970E+07, -1.569746912814548E+01,  2.418856951958552E+01,  9.193393055308496E+00,  2.15228186E+06,  3.28996278E+06,  1.17961431E+06,  4.76348093E-01,  6.83995993E-01,  3.07123777E-01,
2460982.416666667, A.D. 2025-Nov-02 22:00:00.0000,  7.534107975640622E+07,  1.112169292096861E+08,  4.805086817323748E+07, -1.570972460602768E+01,  2.417048404978214E+01,  9.185639305921846E+00,  2.15399525E+06,  3.28750068E+06,  1.17850885E+06,  4.75533829E-01,  6.83838485E-01,  3.07018958E-01,
2460982.458333333, A.D. 2025-Nov-02 23:00:00.0000,  7.528450272049853E+07,  1.113039104051566E+08,  4.808392252190252E+07, -1.572195839790574E+01,  2.415240307222887E+01,  9.177888165201672E+00,  2.15570570E+06,  3.28503914E+06,  1.17740378E+06,  4.74720809E-01,  6.83680709E-01,  3.06914079E-01,
2460982.500000000, A.D. 2025-Nov-03 00:00:00.0000,  7.522788168192443E+07,  1.113908265172059E+08,  4.811694897115953E+07, -1.573417053700076E+01,  2.413432659424732E+01,  9.170139634887946E+00,  2.15741324E+06,  3.28257818E+06,  1.17629907E+06,  4.73909032E-01,  6.83522666E-01,  3.06809142E-01,
2460982.541666667, A.D. 2025-Nov-03 01:00:00.0000,  7.517121671857546E+07,  1.114776775620437E+08,  4.814994753040838E+07, -1.574636105647459E+01,  2.411625462311691E+01,  9.162393716705793E+00,  2.15911785E+06,  3.28011778E+06,  1.17519475E+06,  4.73098496E-01,  6.83364356E-01,  3.06704147E-01,
2460982.583333333, A.D. 2025-Nov-03 02:00:00.0000,  7.511450790822205E+07,  1.115644635559086E+08,  4.818291820905618E+07, -1.575852998943076E+01,  2.409818716607386E+01,  9.154650412365026E+00,  2.16081955E+06,  3.27765795E+06,  1.17409080E+06,  4.72289197E-01,  6.83205783E-01,  3.06599094E-01,
2460982.625000000, A.D. 2025-Nov-03 03:00:00.0000,  7.505775532851553E+07,  1.116511845150653E+08,  4.821586101651617E+07, -1.577067736891409E+01,  2.408012423031204E+01,  9.146909723560480E+00,  2.16251833E+06,  3.27519870E+06,  1.17298724E+06,  4.71481135E-01,  6.83046948E-01,  3.06493985E-01,
2460982.666666667, A.D. 2025-Nov-03 04:00:00.0000,  7.500095905699025E+07,  1.117378404558013E+08,  4.824877596220657E+07, -1.578280322791044E+01,  2.406206582298356E+01,  9.139171651972323E+00,  2.16421421E+06,  3.27274001E+06,  1.17188405E+06,  4.70674306E-01,  6.82887851E-01,  3.06388819E-01,
2460982.708333333, A.D. 2025-Nov-03 05:00:00.0000,  7.494411917106006E+07,  1.118244313944328E+08,  4.828166305555278E+07, -1.579490759934761E+01,  2.404401195119793E+01,  9.131436199265597E+00,  2.16590719E+06,  3.27028190E+06,  1.17078124E+06,  4.69868709E-01,  6.82728495E-01,  3.06283597E-01,
2460982.750000000, A.D. 2025-Nov-03 06:00:00.0000,  7.488723574802037E+07,  1.119109573473014E+08,  4.831452230598605E+07, -1.580699051609499E+01,  2.402596262202269E+01,  9.123703367090570E+00,  2.16759727E+06,  3.26782437E+06,  1.16967881E+06,  4.69064341E-01,  6.82568881E-01,  3.06178320E-01,
2460982.791666667, A.D. 2025-Nov-03 07:00:00.0000,  7.483030886505020E+07,  1.119974183307712E+08,  4.834735372294256E+07, -1.581905201096330E+01,  2.400791784248423E+01,  9.115973157083033E+00,  2.16928445E+06,  3.26536741E+06,  1.16857675E+06,  4.68261201E-01,  6.82409011E-01,  3.06072989E-01,
2460982.833333333, A.D. 2025-Nov-03 08:00:00.0000,  7.477333859920879E+07,  1.120838143612346E+08,  4.838015731586535E+07, -1.583109211670544E+01,  2.398987761956673E+01,  9.108245570863835E+00,  2.17096875E+06,  3.26291102E+06,  1.16747508E+06,  4.67459285E-01,  6.82248886E-01,  3.05967603E-01,
2460982.875000000, A.D. 2025-Nov-03 09:00:00.0000,  7.471632502743743E+07,  1.121701454551087E+08,  4.841293309420338E+07, -1.584311086601621E+01,  2.397184196021297E+01,  9.100520610039244E+00,  2.17265016E+06,  3.26045522E+06,  1.16637379E+06,  4.66658592E-01,  6.82088507E-01,  3.05862164E-01,
2460982.916666667, A.D. 2025-Nov-03 10:00:00.0000,  7.465926822656181E+07,  1.122564116288330E+08,  4.844568106741016E+07, -1.585510829153201E+01,  2.395381087132505E+01,  9.092798276201227E+00,  2.17432869E+06,  3.25799999E+06,  1.16527287E+06,  4.65859119E-01,  6.81927878E-01,  3.05756672E-01,
2460982.958333333, A.D. 2025-Nov-03 11:00:00.0000,  7.460216827328829E+07,  1.123426128988744E+08,  4.847840124494606E+07, -1.586708442583168E+01,  2.393578435976335E+01,  9.085078570927024E+00,  2.17600435E+06,  3.25554534E+06,  1.16417234E+06,  4.65060865E-01,  6.81766997E-01,  3.05651127E-01,
2460983.000000000, A.D. 2025-Nov-03 12:00:00.0000,  7.454502524420604E+07,  1.124287492817246E+08,  4.851109363627708E+07, -1.587903930143622E+01,  2.391776243234733E+01,  9.077361495779465E+00,  2.17767713E+06,  3.25309127E+06,  1.16307218E+06,  4.64263827E-01,  6.81605869E-01,  3.05545530E-01,
2460983.041666667, A.D. 2025-Nov-03 13:00:00.0000,  7.448783921578920E+07,  1.125148207938967E+08,  4.854375825087379E+07, -1.589097295080863E+01,  2.389974509585625E+01,  9.069647052307243E+00,  2.17934705E+06,  3.25063778E+06,  1.16197241E+06,  4.63468003E-01,  6.81444493E-01,  3.05439882E-01,
2460983.083333333, A.D. 2025-Nov-03 14:00:00.0000,  7.443061026439323E+07,  1.126008274519313E+08,  4.857639509821332E+07, -1.590288540635452E+01,  2.388173235702816E+01,  9.061935242044530E+00,  2.18101411E+06,  3.24818487E+06,  1.16087302E+06,  4.62673390E-01,  6.81282871E-01,  3.05334183E-01,
2460983.125000000, A.D. 2025-Nov-03 15:00:00.0000,  7.437333846625702E+07,  1.126867692723929E+08,  4.860900418777829E+07, -1.591477670042197E+01,  2.386372422256064E+01,  9.054226066511276E+00,  2.18267830E+06,  3.24573254E+06,  1.15977401E+06,  4.61879988E-01,  6.81121005E-01,  3.05228434E-01,
2460983.166666667, A.D. 2025-Nov-03 16:00:00.0000,  7.431602389750502E+07,  1.127726462718673E+08,  4.864158552905580E+07, -1.592664686530125E+01,  2.384572069911157E+01,  9.046519527213505E+00,  2.18433964E+06,  3.24328079E+06,  1.15867537E+06,  4.61087792E-01,  6.80958897E-01,  3.05122634E-01,
2460983.208333333, A.D. 2025-Nov-03 17:00:00.0000,  7.425866663414362E+07,  1.128584584669670E+08,  4.867413913153929E+07, -1.593849593322562E+01,  2.382772179329810E+01,  9.038815625642853E+00,  2.18599813E+06,  3.24082964E+06,  1.15757712E+06,  4.60296802E-01,  6.80796547E-01,  3.05016785E-01,
2460983.250000000, A.D. 2025-Nov-03 18:00:00.0000,  7.420126675206330E+07,  1.129442058743284E+08,  4.870666500472759E+07, -1.595032393637109E+01,  2.380972751169740E+01,  9.031114363276927E+00,  2.18765378E+06,  3.23837906E+06,  1.15647925E+06,  4.59507015E-01,  6.80633958E-01,  3.04910888E-01,
2460983.291666667, A.D. 2025-Nov-03 19:00:00.0000,  7.414382432704073E+07,  1.130298885106085E+08,  4.873916315812381E+07, -1.596213090685607E+01,  2.379173786084738E+01,  9.023415741579601E+00,  2.18930659E+06,  3.23592907E+06,  1.15538176E+06,  4.58718428E-01,  6.80471131E-01,  3.04804942E-01,
2460983.333333333, A.D. 2025-Nov-03 20:00:00.0000,  7.408633943473507E+07,  1.131155063924906E+08,  4.877163360123727E+07, -1.597391687674231E+01,  2.377375284724572E+01,  9.015719762000550E+00,  2.19095655E+06,  3.23347967E+06,  1.15428466E+06,  4.57931041E-01,  6.80308066E-01,  3.04698948E-01,
2460983.375000000, A.D. 2025-Nov-03 21:00:00.0000,  7.402881215069029E+07,  1.132010595366814E+08,  4.880407634358259E+07, -1.598568187803453E+01,  2.375577247735058E+01,  9.008026425975594E+00,  2.19260369E+06,  3.23103085E+06,  1.15318793E+06,  4.57144850E-01,  6.80144767E-01,  3.04592907E-01,
2460983.416666667, A.D. 2025-Nov-03 22:00:00.0000,  7.397124255033700E+07,  1.132865479599080E+08,  4.883649139467838E+07, -1.599742594268016E+01,  2.373779675758134E+01,  9.000335734926985E+00,  2.19424800E+06,  3.22858263E+06,  1.15209159E+06,  4.56359853E-01,  6.79981233E-01,  3.04486820E-01,
2460983.458333333, A.D. 2025-Nov-03 23:00:00.0000,  7.391363070898911E+07,  1.133719716789232E+08,  4.886887876404949E+07, -1.600914910257023E+01,  2.371982569431761E+01,  8.992647690262977E+00,  2.19588948E+06,  3.22613499E+06,  1.15099563E+06,  4.55576049E-01,  6.79817467E-01,  3.04380686E-01,
2460983.500000000, A.D. 2025-Nov-04 00:00:00.0000,  7.385597670184579E+07,  1.134573307105028E+08,  4.890123846122573E+07, -1.602085138953902E+01,  2.370185929389993E+01,  8.984962293378121E+00,  2.19752815E+06,  3.22368794E+06,  1.14990005E+06,  4.54793435E-01,  6.79653471E-01,  3.04274506E-01,
2460983.541666667, A.D. 2025-Nov-04 01:00:00.0000,  7.379828060399358E+07,  1.135426250714425E+08,  4.893357049574094E+07, -1.603253283536382E+01,  2.368389756263057E+01,  8.977279545653609E+00,  2.19916400E+06,  3.22124148E+06,  1.14880485E+06,  4.54012009E-01,  6.79489244E-01,  3.04168281E-01,
2460983.583333333, A.D. 2025-Nov-04 02:00:00.0000,  7.374054249040289E+07,  1.136278547785636E+08,  4.896587487713484E+07, -1.604419347176574E+01,  2.366594050677244E+01,  8.969599448456792E+00,  2.20079704E+06,  3.21879562E+06,  1.14771004E+06,  4.53231768E-01,  6.79324790E-01,  3.04062011E-01,
2460983.625000000, A.D. 2025-Nov-04 03:00:00.0000,  7.368276243592997E+07,  1.137130198487096E+08,  4.899815161495218E+07, -1.605583333040949E+01,  2.364798813254989E+01,  8.961922003141506E+00,  2.20242727E+06,  3.21635035E+06,  1.14661560E+06,  4.52452712E-01,  6.79160109E-01,  3.03955697E-01,
2460983.666666667, A.D. 2025-Nov-04 04:00:00.0000,  7.362494051531909E+07,  1.137981202987437E+08,  4.903040071874144E+07, -1.606745244290300E+01,  2.363004044614943E+01,  8.954247211048383E+00,  2.20405470E+06,  3.21390567E+06,  1.14552156E+06,  4.51674836E-01,  6.78995203E-01,  3.03849339E-01,
2460983.708333333, A.D. 2025-Nov-04 05:00:00.0000,  7.356707680319901E+07,  1.138831561455540E+08,  4.906262219805696E+07, -1.607905084079835E+01,  2.361209745371868E+01,  8.946575073504405E+00,  2.20567933E+06,  3.21146158E+06,  1.14442789E+06,  4.50898141E-01,  6.78830072E-01,  3.03742938E-01,
2460983.750000000, A.D. 2025-Nov-04 06:00:00.0000,  7.350917137408487E+07,  1.139681274060509E+08,  4.909481606245781E+07, -1.609062855559144E+01,  2.359415916136715E+01,  8.938905591823211E+00,  2.20730117E+06,  3.20901809E+06,  1.14333461E+06,  4.50122623E-01,  6.78664720E-01,  3.03636495E-01,
2460983.791666667, A.D. 2025-Nov-04 07:00:00.0000,  7.345122430238052E+07,  1.140530340971636E+08,  4.912698232150679E+07, -1.610218561872172E+01,  2.357622557516696E+01,  8.931238767305409E+00,  2.20892021E+06,  3.20657519E+06,  1.14224171E+06,  4.49348279E-01,  6.78499146E-01,  3.03530009E-01,
2460983.833333333, A.D. 2025-Nov-04 08:00:00.0000,  7.339323566237482E+07,  1.141378762358460E+08,  4.915912098477232E+07, -1.611372206157304E+01,  2.355829670115180E+01,  8.923574601238130E+00,  2.21053647E+06,  3.20413290E+06,  1.14114919E+06,  4.48575109E-01,  6.78333353E-01,  3.03423481E-01,
2460983.875000000, A.D. 2025-Nov-04 09:00:00.0000,  7.333520552824374E+07,  1.142226538390740E+08,  4.919123206182750E+07, -1.612523791547333E+01,  2.354037254531770E+01,  8.915913094895329E+00,  2.21214995E+06,  3.20169119E+06,  1.14005706E+06,  4.47803110E-01,  6.78167342E-01,  3.03316912E-01,
2460983.916666667, A.D. 2025-Nov-04 10:00:00.0000,  7.327713397405243E+07,  1.143073669238416E+08,  4.922331556224888E+07, -1.613673321169439E+01,  2.352245311362375E+01,  8.908254249538114E+00,  2.21376066E+06,  3.19925009E+06,  1.13896531E+06,  4.47032280E-01,  6.78001113E-01,  3.03210302E-01,
2460983.958333333, A.D. 2025-Nov-04 11:00:00.0000,  7.321902107375170E+07,  1.143920155071675E+08,  4.925537149561860E+07, -1.614820798145265E+01,  2.350453841199105E+01,  8.900598066414277E+00,  2.21536859E+06,  3.19680959E+06,  1.13787394E+06,  4.46262616E-01,  6.77834670E-01,  3.03103651E-01,
2460984.000000000, A.D. 2025-Nov-04 12:00:00.0000,  7.316086690118010E+07,  1.144765996060914E+08,  4.928739987152334E+07, -1.615966225590893E+01,  2.348662844630351E+01,  8.892944546758601E+00,  2.21697375E+06,  3.19436968E+06,  1.13678296E+06,  4.45494118E-01,  6.77668012E-01,  3.02996961E-01,
2460984.041666667, A.D. 2025-Nov-04 13:00:00.0000,  7.310267153006598E+07,  1.145611192376714E+08,  4.931940069955303E+07, -1.617109606616814E+01,  2.346872322240852E+01,  8.885293691793194E+00,  2.21857615E+06,  3.19193038E+06,  1.13569237E+06,  4.44726781E-01,  6.77501141E-01,  3.02890232E-01,
2460984.083333333, A.D. 2025-Nov-04 14:00:00.0000,  7.304443503402390E+07,  1.146455744189892E+08,  4.935137398930308E+07, -1.618250944328018E+01,  2.345082274611593E+01,  8.877645502727020E+00,  2.22017578E+06,  3.18949167E+06,  1.13460215E+06,  4.43960605E-01,  6.77334060E-01,  3.02783463E-01,
2460984.125000000, A.D. 2025-Nov-04 15:00:00.0000,  7.298615748655674E+07,  1.147299651671478E+08,  4.938331975037330E+07, -1.619390241823954E+01,  2.343292702319883E+01,  8.869999980756214E+00,  2.22177267E+06,  3.18705357E+06,  1.13351232E+06,  4.43195588E-01,  6.77166768E-01,  3.02676656E-01,
2460984.166666667, A.D. 2025-Nov-04 16:00:00.0000,  7.292783896105781E+07,  1.148142914992675E+08,  4.941523799236661E+07, -1.620527502198512E+01,  2.341503605939425E+01,  8.862357127064378E+00,  2.22336679E+06,  3.18461607E+06,  1.13242288E+06,  4.42431726E-01,  6.76999267E-01,  3.02569812E-01,
2460984.208333333, A.D. 2025-Nov-04 17:00:00.0000,  7.286947953080726E+07,  1.148985534324926E+08,  4.944712872489127E+07, -1.621662728540104E+01,  2.339714986040212E+01,  8.854716942822149E+00,  2.22495817E+06,  3.18217918E+06,  1.13133382E+06,  4.41669019E-01,  6.76831560E-01,  3.02462929E-01,
2460984.250000000, A.D. 2025-Nov-04 18:00:00.0000,  7.281107926897410E+07,  1.149827509839873E+08,  4.947899195755976E+07, -1.622795923931634E+01,  2.337926843188601E+01,  8.847079429187495E+00,  2.22654681E+06,  3.17974289E+06,  1.13024515E+06,  4.40907464E-01,  6.76663646E-01,  3.02356010E-01,
2460984.291666667, A.D. 2025-Nov-04 19:00:00.0000,  7.275263824861845E+07,  1.150668841709338E+08,  4.951082769998764E+07, -1.623927091450471E+01,  2.336139177947391E+01,  8.839444587306041E+00,  2.22813271E+06,  3.17730720E+06,  1.12915686E+06,  4.40147059E-01,  6.76495528E-01,  3.02249054E-01,
2460984.333333333, A.D. 2025-Nov-04 20:00:00.0000,  7.269415654268771E+07,  1.151509530105369E+08,  4.954263596179561E+07, -1.625056234168533E+01,  2.334351990875711E+01,  8.831812418310582E+00,  2.22971587E+06,  3.17487212E+06,  1.12806896E+06,  4.39387802E-01,  6.76327206E-01,  3.02142062E-01,
2460984.375000000, A.D. 2025-Nov-04 21:00:00.0000,  7.263563422401890E+07,  1.152349575200218E+08,  4.957441675260839E+07, -1.626183355152257E+01,  2.332565282529101E+01,  8.824182923321423E+00,  2.23129630E+06,  3.17243764E+06,  1.12698144E+06,  4.38629691E-01,  6.76158683E-01,  3.02035035E-01,
2460984.416666667, A.D. 2025-Nov-04 22:00:00.0000,  7.257707136534061E+07,  1.153188977166307E+08,  4.960617008205376E+07, -1.627308457462575E+01,  2.330779053459580E+01,  8.816556103446688E+00,  2.23287401E+06,  3.17000378E+06,  1.12589430E+06,  4.37872723E-01,  6.75989958E-01,  3.01927972E-01,
2460984.458333333, A.D. 2025-Nov-04 23:00:00.0000,  7.251846803926945E+07,  1.154027736176282E+08,  4.963789595976443E+07, -1.628431544154994E+01,  2.328993304215544E+01,  8.808931959781825E+00,  2.23444899E+06,  3.16757052E+06,  1.12480756E+06,  4.37116897E-01,  6.75821035E-01,  3.01820875E-01,
2460984.500000000, A.D. 2025-Nov-05 00:00:00.0000,  7.245982431831205E+07,  1.154865852402990E+08,  4.966959439537705E+07, -1.629552618279568E+01,  2.327208035341843E+01,  8.801310493409972E+00,  2.23602125E+06,  3.16513787E+06,  1.12372119E+06,  4.36362211E-01,  6.75651914E-01,  3.01713743E-01,
2460984.541666667, A.D. 2025-Nov-05 01:00:00.0000,  7.240114027486736E+07,  1.155703326019441E+08,  4.970126539853115E+07, -1.630671682880867E+01,  2.325423247379845E+01,  8.793691705402214E+00,  2.23759080E+06,  3.16270582E+06,  1.12263522E+06,  4.35608662E-01,  6.75482596E-01,  3.01606578E-01,
2460984.583333333, A.D. 2025-Nov-05 02:00:00.0000,  7.234241598122285E+07,  1.156540157198871E+08,  4.973290897887103E+07, -1.631788740998077E+01,  2.323638940867344E+01,  8.786075596817181E+00,  2.23915763E+06,  3.16027439E+06,  1.12154963E+06,  4.34856249E-01,  6.75313082E-01,  3.01499379E-01,
2460984.625000000, A.D. 2025-Nov-05 03:00:00.0000,  7.228365150955668E+07,  1.157376346114707E+08,  4.976452514604491E+07, -1.632903795664946E+01,  2.321855116338622E+01,  8.778462168701292E+00,  2.24072176E+06,  3.15784357E+06,  1.12046442E+06,  4.34104970E-01,  6.75143375E-01,  3.01392147E-01,
2460984.666666667, A.D. 2025-Nov-05 04:00:00.0000,  7.222484693193983E+07,  1.158211892940539E+08,  4.979611390970362E+07, -1.634016849909775E+01,  2.320071774324527E+01,  8.770851422089113E+00,  2.24228319E+06,  3.15541336E+06,  1.11937960E+06,  4.33354822E-01,  6.74973474E-01,  3.01284883E-01,
2460984.708333333, A.D. 2025-Nov-05 05:00:00.0000,  7.216600232033241E+07,  1.159046797850179E+08,  4.982767527950275E+07, -1.635127906755492E+01,  2.318288915352371E+01,  8.763243358002871E+00,  2.24384192E+06,  3.15298376E+06,  1.11829517E+06,  4.32605803E-01,  6.74803382E-01,  3.01177587E-01,
2460984.750000000, A.D. 2025-Nov-05 06:00:00.0000,  7.210711774658579E+07,  1.159881061017624E+08,  4.985920926510158E+07, -1.636236969219630E+01,  2.316506539945998E+01,  8.755637977452791E+00,  2.24539795E+06,  3.15055477E+06,  1.11721112E+06,  4.31857912E-01,  6.74633100E-01,  3.01070259E-01,
2460984.791666667, A.D. 2025-Nov-05 07:00:00.0000,  7.204819328244480E+07,  1.160714682617034E+08,  4.989071587616197E+07, -1.637344040314296E+01,  2.314724648625860E+01,  8.748035281437382E+00,  2.24695130E+06,  3.14812640E+06,  1.11612746E+06,  4.31111146E-01,  6.74462629E-01,  3.00962900E-01,
