            JDTDB             Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,             X_s,             Y_s,             Z_s,            VX_s,            VY_s,            VZ_s,
********************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2460952.916666667, A.D. 2025-Oct-04 10:00:00.0000,  9.810224535173608E+07,  3.300668455392043E+07,  1.729889575583171E+07,  1.072717780925133E+00,  3.680476600825496E+01,  1.490344637983237E+01,  1.55072890E+05,  4.99993443E+06,  1.99967044E+06,  1.51541597E+00,  5.13410639E-01,  2.84676966E-01,
2460952.958333333, A.D. 2025-Oct-04 11:00:00.0000,  9.810603536570063E+07,  3.313915706992606E+07,  1.735253558078967E+07,  1.032855597500061E+00,  3.679107084098145E+01,  1.489645457193122E+01,  1.49621504E+05,  4.99808396E+06,  1.99864489E+06,  1.51313465E+00,  5.14625515E-01,  2.85073790E-01,
2460953.000000000, A.D. 2025-Oct-04 12:00:00.0000,  9.810968198447274E+07,  3.327158022535383E+07,  1.740615021580422E+07,  9.930537762715546E-01,  3.677734348857111E+01,  1.488945197602595E+01,  1.44178327E+05,  4.99622913E+06,  1.99761791E+06,  1.51085539E+00,  5.15834895E-01,  2.85468454E-01,
2460953.041666667, A.D. 2025-Oct-04 13:00:00.0000,  9.811318542526074E+07,  3.340395390459730E+07,  1.745973962214008E+07,  9.533122641474966E-01,  3.676358409702657E+01,  1.488243864913928E+01,  1.38743351E+05,  4.99436995E+06,  1.99658952E+06,  1.50857819E+00,  5.17038796E-01,  2.85860966E-01,
2460953.083333333, A.D. 2025-Oct-04 14:00:00.0000,  9.811654590508153E+07,  3.353627799257917E+07,  1.751330376126865E+07,  9.136310078103318E-01,  3.674979281188930E+01,  1.487541464809945E+01,  1.33316571E+05,  4.99250646E+06,  1.99555972E+06,  1.50630307E+00,  5.18237237E-01,  2.86251333E-01,
2460953.125000000, A.D. 2025-Oct-04 15:00:00.0000,  9.811976364075968E+07,  3.366855237474520E+07,  1.756684259486558E+07,  8.740099537205682E-01,  3.673596977824081E+01,  1.486838002954079E+01,  1.27897977E+05,  4.99063865E+06,  1.99452851E+06,  1.50403004E+00,  5.19430235E-01,  2.86639561E-01,
2460953.166666667, A.D. 2025-Oct-04 16:00:00.0000,  9.812283884892651E+07,  3.380077693705834E+07,  1.762035608480826E+07,  8.344490481202543E-01,  3.672211514070393E+01,  1.486133484990443E+01,  1.22487563E+05,  4.98876656E+06,  1.99349591E+06,  1.50175909E+00,  5.20617806E-01,  2.87025660E-01,
2460953.208333333, A.D. 2025-Oct-04 17:00:00.0000,  9.812577174601956E+07,  3.393295156600566E+07,  1.767384419317871E+07,  7.949482370325542E-01,  3.670822904344281E+01,  1.485427916543817E+01,  1.17085321E+05,  4.98689021E+06,  1.99246193E+06,  1.49949024E+00,  5.21799970E-01,  2.87409635E-01,
2460953.250000000, A.D. 2025-Oct-04 18:00:00.0000,  9.812856254828157E+07,  3.406507614859241E+07,  1.772730688226108E+07,  7.555074662652078E-01,  3.669431163016408E+01,  1.484721303219721E+01,  1.11691244E+05,  4.98500961E+06,  1.99142657E+06,  1.49722350E+00,  5.22976741E-01,  2.87791495E-01,
2460953.291666667, A.D. 2025-Oct-04 19:00:00.0000,  9.813121147175980E+07,  3.419715057233601E+07,  1.778074411453924E+07,  7.161266814139651E-01,  3.668036304411822E+01,  1.484013650604474E+01,  1.06305324E+05,  4.98312478E+06,  1.99038983E+06,  1.49495887E+00,  5.24148140E-01,  2.88171247E-01,
2460953.333333333, A.D. 2025-Oct-04 20:00:00.0000,  9.813371873230530E+07,  3.432917472527315E+07,  1.783415585269954E+07,  6.768058278621388E-01,  3.666638342809944E+01,  1.483304964265190E+01,  1.00927553E+05,  4.98123575E+06,  1.98935174E+06,  1.49269636E+00,  5.25314181E-01,  2.88548898E-01,
2460953.375000000, A.D. 2025-Oct-04 21:00:00.0000,  9.813608454557218E+07,  3.446114849595366E+07,  1.788754205962842E+07,  6.375448507840223E-01,  3.665237292444701E+01,  1.482595249749846E+01,  9.55579252E+04,  4.97934253E+06,  1.98831228E+06,  1.49043599E+00,  5.26474883E-01,  2.88924455E-01,
2460953.416666667, A.D. 2025-Oct-04 22:00:00.0000,  9.813830912701668E+07,  3.459307177343477E+07,  1.794090269840996E+07,  5.983436951482842E-01,  3.663833167504657E+01,  1.481884512587342E+01,  9.01964315E+04,  4.97744514E+06,  1.98727148E+06,  1.48817775E+00,  5.27630263E-01,  2.89297926E-01,
2460953.458333333, A.D. 2025-Oct-04 23:00:00.0000,  9.814039269189668E+07,  3.472494444728788E+07,  1.799423773232868E+07,  5.592023057174961E-01,  3.662425982133000E+01,  1.481172758287502E+01,  8.48430650E+04,  4.97554360E+06,  1.98622934E+06,  1.48592165E+00,  5.28780338E-01,  2.89669318E-01,
2460953.500000000, A.D. 2025-Oct-05 00:00:00.0000,  9.814233545527080E+07,  3.485676640759283E+07,  1.804754712486710E+07,  5.201206270515103E-01,  3.661015750427679E+01,  1.480459992341134E+01,  7.94978180E+04,  4.97363793E+06,  1.98518587E+06,  1.48366771E+00,  5.29925125E-01,  2.90038638E-01,
2460953.541666667, A.D. 2025-Oct-05 01:00:00.0000,  9.814413763199762E+07,  3.498853754493181E+07,  1.810083083970334E+07,  4.810986035108133E-01,  3.659602486441533E+01,  1.479746220220099E+01,  7.41606833E+04,  4.97172814E+06,  1.98414107E+06,  1.48141592E+00,  5.31064641E-01,  2.90405894E-01,
2460953.583333333, A.D. 2025-Oct-05 02:00:00.0000,  9.814579943673520E+07,  3.512025775039641E+07,  1.815408884071391E+07,  4.421361792560313E-01,  3.658186204182284E+01,  1.479031447377307E+01,  6.88316534E+04,  4.96981427E+06,  1.98309495E+06,  1.47916631E+00,  5.32198904E-01,  2.90771093E-01,
2460953.625000000, A.D. 2025-Oct-05 03:00:00.0000,  9.814732108394018E+07,  3.525192691558170E+07,  1.820732109197126E+07,  4.032332982512261E-01,  3.656766917612683E+01,  1.478315679246782E+01,  6.35107211E+04,  4.96789632E+06,  1.98204752E+06,  1.47691886E+00,  5.33327930E-01,  2.91134242E-01,
2460953.666666667, A.D. 2025-Oct-05 04:00:00.0000,  9.814870278786705E+07,  3.538354493258031E+07,  1.826052755774140E+07,  3.643899042673711E-01,  3.655344640650597E+01,  1.477598921243716E+01,  5.81978794E+04,  4.96597431E+06,  1.98099878E+06,  1.47467360E+00,  5.34451737E-01,  2.91495348E-01,
2460953.708333333, A.D. 2025-Oct-05 05:00:00.0000,  9.814994476256762E+07,  3.551511169398937E+07,  1.831370820248672E+07,  3.256059408815914E-01,  3.653919387169066E+01,  1.476881178764490E+01,  5.28931215E+04,  4.96404827E+06,  1.97994875E+06,  1.47243052E+00,  5.35570340E-01,  2.91854418E-01,
2460953.750000000, A.D. 2025-Oct-05 06:00:00.0000,  9.815104722189021E+07,  3.564662709290468E+07,  1.836686299086346E+07,  2.868813514806196E-01,  3.652491170996399E+01,  1.476162457186717E+01,  4.75964411E+04,  4.96211821E+06,  1.97889743E+06,  1.47018964E+00,  5.36683759E-01,  2.92211460E-01,
2460953.791666667, A.D. 2025-Oct-05 07:00:00.0000,  9.815201037947892E+07,  3.577809102291472E+07,  1.841999188771949E+07,  2.482160792640295E-01,  3.651060005916316E+01,  1.475442761869322E+01,  4.23078327E+04,  4.96018415E+06,  1.97784483E+06,  1.46795095E+00,  5.37792008E-01,  2.92566481E-01,
2460953.833333333, A.D. 2025-Oct-05 08:00:00.0000,  9.815283444877313E+07,  3.590950337810770E+07,  1.847309485809689E+07,  2.096100672436976E-01,  3.649625905667938E+01,  1.474722098152526E+01,  3.70272920E+04,  4.95824612E+06,  1.97679096E+06,  1.46571448E+00,  5.38895105E-01,  2.92919488E-01,
2460953.875000000, A.D. 2025-Oct-05 09:00:00.0000,  9.815351964300670E+07,  3.604086405306562E+07,  1.852617186722973E+07,  1.710632582470587E-01,  3.648188883945931E+01,  1.474000471357924E+01,  3.17548173E+04,  4.95630412E+06,  1.97573582E+06,  1.46348022E+00,  5.39993068E-01,  2.93270488E-01,
2460953.916666667, A.D. 2025-Oct-05 10:00:00.0000,  9.815406617520733E+07,  3.617217294285842E+07,  1.857922288054156E+07,  1.325755949203393E-01,  3.646748954400633E+01,  1.473277886788545E+01,  2.64904117E+04,  4.95435817E+06,  1.97467941E+06,  1.46124818E+00,  5.41085912E-01,  2.93619487E-01,
2460953.958333333, A.D. 2025-Oct-05 11:00:00.0000,  9.815447425819589E+07,  3.630342994305092E+07,  1.863224786364824E+07,  9.414701972799623E-02,  3.645306130638053E+01,  1.472554349728849E+01,  2.12340890E+04,  4.95240830E+06,  1.97362176E+06,  1.45901838E+00,  5.42173654E-01,  2.93966495E-01,
2460954.000000000, A.D. 2025-Oct-05 12:00:00.0000,  9.815474410458589E+07,  3.643463494969699E+07,  1.868524678235555E+07,  5.577747495593373E-02,  3.643860426220006E+01,  1.471829865444792E+01,  1.59858921E+04,  4.95045453E+06,  1.97256286E+06,  1.45679080E+00,  5.43256312E-01,  2.94311516E-01,
2460954.041666667, A.D. 2025-Oct-05 13:00:00.0000,  9.815487592678262E+07,  3.656578785933360E+07,  1.873821960265675E+07,  1.746690271469712E-02,  3.642411854664249E+01,  1.471104439183897E+01,  1.07459625E+04,  4.94849686E+06,  1.97150272E+06,  1.45456546E+00,  5.44333902E-01,  2.94654559E-01,
2460954.083333333, A.D. 2025-Oct-05 14:00:00.0000,  9.815486993698280E+07,  3.669688856898791E+07,  1.879116629073544E+07, -2.078475506110967E-02,  3.640960429444478E+01,  1.470378076175247E+01,  5.51500795E+03,  4.94653533E+06,  1.97044135E+06,  1.45234238E+00,  5.45406440E-01,  2.94995630E-01,
2460954.125000000, A.D. 2025-Oct-05 15:00:00.0000,  9.815472634717366E+07,  3.682793697617129E+07,  1.884408681296312E+07, -5.897755660964744E-02,  3.639506163990461E+01,  1.469650781629551E+01,  3.40839845E+02,  4.94456994E+06,  1.96937875E+06,  1.45012154E+00,  5.46473944E-01,  2.95334736E-01,
2460954.166666667, A.D. 2025-Oct-05 16:00:00.0000,  9.815444536913259E+07,  3.695893297887354E+07,  1.889698113589683E+07, -9.711156033868547E-02,  3.638049071688182E+01,  1.468922560739215E+01,  4.93230404E+03,  4.94260072E+06,  1.96831494E+06,  1.44790297E+00,  5.47536429E-01,  2.95671885E-01,
2460954.208333333, A.D. 2025-Oct-05 17:00:00.0000,  9.815402721442632E+07,  3.708987647556984E+07,  1.894984922628192E+07, -1.351868248262066E-01,  3.636589165879829E+01,  1.468193418678333E+01,  1.01390200E+04,  4.94062769E+06,  1.96724992E+06,  1.44568666E+00,  5.48593913E-01,  2.96007084E-01,
2460954.250000000, A.D. 2025-Oct-05 18:00:00.0000,  9.815347209441043E+07,  3.722076736521488E+07,  1.900269105104969E+07, -1.732034088172684E-01,  3.635126459863935E+01,  1.467463360602758E+01,  1.53389459E+04,  4.93865085E+06,  1.96618369E+06,  1.44347262E+00,  5.49646412E-01,  2.96340339E-01,
2460954.291666667, A.D. 2025-Oct-05 19:00:00.0000,  9.815278022022875E+07,  3.735160554723710E+07,  1.905550657731499E+07, -2.111613712208860E-01,  3.633660966895522E+01,  1.466732391650168E+01,  2.05311894E+04,  4.93667024E+06,  1.96511627E+06,  1.44126086E+00,  5.50693942E-01,  2.96671657E-01,
2460954.333333333, A.D. 2025-Oct-05 20:00:00.0000,  9.815195180281267E+07,  3.748239092154554E+07,  1.910829577237903E+07, -2.490607711106582E-01,  3.632192700186087E+01,  1.466000516940061E+01,  2.57155863E+04,  4.93468586E+06,  1.96404766E+06,  1.43905138E+00,  5.51736520E-01,  2.97001045E-01,
